species	class	subclass	0percent	1percent	2percent	3percent	4percent	5percent	6percent
shon	LTR	Ngaro	1.47734284934024e-06	0	1.85859261691192e-06	8.43515110752331e-06	2.43046726826943e-06	1.95390505880483e-06	5.90937139736096e-06
shon	LTR	Pao	0.000270973272301568	8.72108843320206e-06	7.95858889805871e-06	3.70288836753989e-05	8.9117133169879e-06	2.65445150671779e-05	8.0920263167088e-05
shon	LTR	Copia	3.37882606510397e-05	0	5.2183561936373e-05	0.00012867179655544	0.000114231961608663	0.000209210809954957	0.00025210140880677
shon	LTR	Gypsy	0.000162269432322694	5.19452808316407e-06	8.74015092158065e-05	0.000306143563360055	0.000174231143780255	0.000556767629317485	0.00104786498617075
shon	LTR	ERVL	1.0579681050114e-05	0	3.98882569321865e-05	9.6170253869955e-05	0.000264110776485278	0.000777892494509056	0.00189976759180966
shon	LTR	LTR	0	0	1.763280175019e-06	0	2.14452994259067e-06	3.90781011760967e-06	1.05320248291675e-05
shon	LTR	ERV1	3.07382625104663e-05	6.29062116493264e-06	7.37718300251191e-05	0.000157456154007102	0.00023070376560181	0.000422138805143737	0.00133699527865292
shon	LTR	ERV	7.28663618271364e-05	7.5630422642031e-05	0.000323966989994031	0.00113936493038795	0.00209039247559549	0.00455869878329641	0.00961754960542591
shon	LTR	ERVK	5.37085610066597e-05	0	1.88242072738514e-05	0.00010188900038353	8.17304189231778e-05	0.000509349689475758	0.00109852354903683
shon	LINE	L1	0.000352036504131495	0.000136439760569713	0.0007510620421162	0.00150450689527972	0.00428753488611106	0.013071958436951	0.0489530420308544
shon	LINE	LINE	0	0	0	0	0	0	0
shon	LINE	RTE	1.19140552366148e-06	0	7.57733913048704e-06	9.48358796834541e-06	7.00546447912953e-06	1.67273335522072e-05	3.68382587916131e-05
shon	LINE	CR1	5.28984052505699e-06	0	5.28984052505699e-06	2.48288911131053e-05	7.72030779332642e-06	2.09687372164421e-05	3.55515408260587e-05
shon	LINE	Rex-Babar	2.47812348921589e-06	0	0	2.28749860543005e-06	0	1.71562395407254e-06	3.81249767571675e-06
shon	LINE	L2	1.94913943671019e-05	0	6.29062116493264e-05	8.67819783435025e-05	3.04046689638411e-05	0.000131817107137907	0.000144779599235344
shon	LINE	Proto2	0	0	0	0	0	0	0
shon	LINE	R1	1.42968662839378e-06	0.000103604624337603	3.42171666395578e-05	7.43437046764766e-06	0	1.21046801204007e-05	1.07226497129534e-05
shon	LINE	Jockey-I	1.19140552366148e-05	0	1.01507750615958e-05	1.70609270988325e-05	3.43124790814507e-06	2.84984201259827e-05	3.9316382280829e-05
shon	LINE	Dong-R4	0	0	0	0	0	0	0
shon	LINE	R2	1.33437418650086e-06	0	3.76484145477029e-06	1.21523363413471e-05	7.6249953514335e-06	1.73468644245112e-05	1.42015538420449e-05
shon	LINE	Penelope	1.28195234345976e-05	0	1.90148321576373e-05	1.03413999453817e-05	1.2867179655544e-05	4.96101260052642e-05	4.13655997815267e-05
shon	LINE	CRE	0	0	1.763280175019e-06	4.28905988518134e-06	0	3.66952901287737e-06	6.91015203723661e-06
shon	Retroposon	SVA	0	0	0	0	0	0	0
shon	SINE	SINE	0	0	0	0	0	0	0
shon	SINE	5S	1.37249916325803e-05	3.74577896639171e-05	6.97687074656165e-05	8.24929184583212e-05	7.27710493852434e-05	0.00011494680492286	9.17382253219343e-05
shon	SINE	7SL	0	0	2.23984238448359e-06	2.8117170358411e-06	1.97296754718342e-05	0	2.28749860543005e-06
shon	SINE	Alu	0	7.69647968285319e-05	4.99437195518894e-05	0.00011494680492286	5.64249656006079e-05	0.000171895988953879	0.000177471766804615
shon	SINE	tRNA	1.5249990702867e-05	7.92999516549084e-05	0.000206017843151544	0.000295373257426155	0.000762213597817671	0.000954506449336635	0.00186250042702953
shon	SINE	tRNA-Alu	0	0	3.2882792453057e-06	0	8.9117133169879e-06	1.33913980859551e-05	4.36530983869568e-05
shon	SINE	tRNA-RTE	0	0	0	0	0	2.09687372164421e-06	3.47890412909153e-06
shon	SINE	RTE	0	0	0	0	0	0	0
shon	SINE	Deu	0	0	0	0	0	0	1.763280175019e-06
shon	SINE	tRNA-V	0	0	0	0	0	0	0
